Gene	kDeg_HEK_WT2
NDUFS5	6.68E-09
UQCRH	0.000475786
ATP5PB	0.004904784
NDUFS2	0.004257452
SDHC	0.00228496
SDHB	0.000990145
ATPAF1	0.000676021
COX5B	0.000781607
NDUFB3	3.78E-11
COX7A2L	0.001478394
ATP5MC3	0.001753187
NDUFS1	0.002463531
NDUFA10	0.005741967
NDUFB4	0.001011152
NDUFB5	0.004449796
UQCRC1	0.000261296
NDUFC1	0.000159003
SDHA	0.002212813
NDUFS6	0.001190918
NDUFS4	3.78E-11
COX7C	0.003838034
UQCRQ	0.002069299
NDUFA2	0.000745202
COX7A2	0.002350971
NDUFB2	0.004700319
NDUFA4	0.001137155
NDUFA5	0.000463619
NDUFB9	0.001277014
CYC1	0.001608042
COX6C	0.000113611
UQCRB	0.000734719
NDUFB6	0.000820392
NDUFA8	0.000149152
ATP5F1C	0.000365127
NDUFB8	0.002756807
NDUFS3	0.000374714
COX8A	3.78E-11
NDUFV1	0.001100001
NDUFS8	0.00317916
SDHD	0.000185408
NDUFC2	0.004876405
NDUFA9	0.001542155
COX6A1	0.001920806
ATP5MC2	0.000529099
NDUFA4L2	0.001265387
ATP5F1B	0.000220371
NDUFA12	9.55E-05
NDUFB1	0.012717972
COX5A	0.001646022
NDUFB10	0.001239012
UQCRC2	0.006414794
COX4I1	0.000462529
NDUFAB1	0.00220496
VPS9D1	0.000460711
ATP5MC1	0.00260963
ATPAF2	0.004964338
NDUFV2	0.000487116
ATP5F1A	0.002107319
NDUFS7	0.005758859
ATP5F1D	0.000626146
NDUFA13	0.00225825
COX6B1	0.000156266
NDUFA3	0.017781042
UQCR11	0.00117566
NDUFA11	0.003438155
NDUFA7	0.000494148
NDUFB7	0.00068778
UQCRFS1	0.000710752
COX6B2	3.78E-11
ATP5F1E	0.002005857
NDUFV3	0.006502722
ATP5PO	0.000603753
UQCR10	0.000128673
NDUFA6	0.000313654
COX7B	0.008734336
NDUFA1	0.000648791
NDUFB11	0.000158706
