Gene	kDeg_HEK_KO1
UQCRH	0.002222177
NDUFS5	0.001109892
ATP5PB	0.004114276
NDUFS2	0.002873033
SDHC	0.002853464
SDHB	0.001207854
ATPAF1	0.002690185
COX5B	0.000655384
NDUFB3	0.001901575
COX7A2L	0.002787504
ATP5MC3	0.003530386
NDUFS1	0.003528168
NDUFA10	0.006423168
NDUFB4	0.002844712
NDUFB5	0.004685719
UQCRC1	0.000949817
COX7A2P2	3.78E-11
NDUFC1	0.001432124
SDHA	0.002436978
NDUFS6	0.001888656
NDUFS4	0.00090676
COX7C	0.002992584
UQCRQ	0.002761873
NDUFA2	0.002820068
COX7A2	0.001792569
NDUFB2	0.011399028
NDUFA4	0.002804343
NDUFA5	0.002033042
NDUFB9	0.001758953
CYC1	0.001332445
COX6C	0.001922061
UQCRB	0.001362784
NDUFB6	0.001412456
NDUFA8	0.001511349
ATP5F1C	0.001460462
NDUFB8	0.00331166
NDUFS3	0.002079509
COX8A	0.000871664
NDUFV1	0.00216006
NDUFS8	0.005385917
SDHD	0.002018733
NDUFC2	0.000992661
NDUFA9	0.003547022
COX6A1	0.001094624
ATP5MC2	0.006157305
NDUFA4L2	0.00344311
ATP5F1B	0.001970895
NDUFA12	0.001145893
NDUFB1	0.021735213
COX5A	0.005467523
NDUFB10	0.001138076
UQCRC2	0.004065911
COX4I1	0.000896829
NDUFAB1	0.004282091
VPS9D1	0.00630678
ATP5MC1	0.003442136
ATPAF2	0.004939436
NDUFV2	0.003054055
ATP5F1A	0.001929533
ATP5F1D	0.001250992
NDUFS7	0.006010998
NDUFA13	0.001208132
COX6B1	0.000651192
NDUFA3	0.012042942
NDUFA11	0.002646779
UQCR11	0.002872986
NDUFA7	0.001723727
NDUFB7	0.000844213
UQCRFS1	0.001726766
COX6B2	3.78E-11
ATP5F1E	0.007551235
NDUFV3	0.00592596
ATP5PO	0.002380829
UQCR10	0.00048392
NDUFA6	0.001634938
COX7B	0.003386626
NDUFA1	1.05E-05
NDUFB11	0.000323197
